"Date Made Public","Company","City","State","Type of breach","Type of organization","Total Records","Description of incident","Information Source","Source URL","Year of Breach","Latitude","Longitude"
"June 6, 2009","Ohio State Dining Services","Columbus ","Ohio","DISC","EDU","350","Student employees had their Social Security numbers accidentally leaked in an e-mail. The hiring coordinator 
          for Dining Services, an OSU student, received an e-mail with an attachment 
          that included students' names and SSNs. He accidentally 
          sent the attachment in an e-mail reminding student employees to sign 
          their waivers for the Ohio Employees Retirement System. After realizing 
          the mistake, the hiring coordinator called the Office of Information 
          Technology, which stopped the e-mails before all of them were sent.","Dataloss DB","","2009","39.961176","-82.998794"
"May 21, 2009","Texas Lottery Commission","Austin","Texas","INSD","GOV","140","A former Texas lottery worker 
            was arrested while training for a new job and charged with illegally 
            possessing personal information on 140 lottery winners 
            and employees, including their names and Social Security numbers. 
            The man was still working for the Lottery Commission in 2007 when 
            he allegedly took the information, which was discovered last year 
            on a state computer at the Comptroller of Public Accounts where he 
            later was employed.","Media","","2009","30.267153","-97.743061"
"May 19, 2009","Rudder","Houston","Texas","DISC","BSF","0","Rudder, a financial management company, erred in sending users' confidential financial information 
            to the wrong individuals. Through an online financial planning application, hundreds of individuals were able obtain the full details on others' finances 
             -  their salary, debts, bank balance, and where they 
            shop. Bank account numbers were apparently not exposed.","Media","","2009","29.763284","-95.363272"
"May 13, 2009","United Food and Commercial Workers Union 555","Tigard","Oregon","PORT","NGO","19,000","A union employee's laptop was stolen 
          on the East Coast. The laptop may have contained personal information of Local 
          555 members, including birth dates and Social Security numbers.","Dataloss DB","","2009","45.431229","-122.771486"
"May 5, 2009","East Burke Christian Ministries","Hildebran","North Carolina","PORT","NGO","1,000","A thief broke into a charity 
          in Burke County and stole a laptop containing more than 1,000 Social 
          Security numbers of individuals seeking help.","Dataloss DB","","2009","35.714021","-81.422033"
"May 5, 2009","Fulton County Board of Registration and Elections","Atlanta","Georgia","PHYS","GOV","99,000","Boxes were found in a trash bin 
          at Atlanta Technical College. They contained about 75,000 voter registration 
          application cards and 24,000 precinct cards. Many of the documents contained 
          personal information on active voters, such as full names and Social 
          Security numbers.","Dataloss DB","","2009","33.748995","-84.387982"
"April 28, 2009"," West Virginia State Bar","Charleston","West Virginia","HACK","NGO","0","The West Virginia State Bar has 
          hired forensic computer experts in hopes of finding those responsible 
          for hacking into the group's website and internal computer network. 
          Information about the State Bar's current and 
          former members may have been compromised. The hacker was able to access the group's internal database server where there 
          was information concerning lawyer identification numbers, names, mailing 
          addresses, email addresses and some Social Security numbers.","Dataloss DB","","2009","38.349820","-81.632623"
"March 31, 2009","Symantec","Cupertino","California","INSD","BSO","200","Symantec is warning a small number 
          of customers that their credit card numbers may have been stolen from 
          an Indian call center used by the security vendor. Symantec sent out 
          warning letters , after the BBC reported that it managed to purchase 
          credit card numbers obtained from Symantec's call center from a Delhi-based 
          man. The letters were sent to just over 200 customers. Most of those 
          notified are in the U.S., but the company also notified a handful of 
          customers in the U.K. and Canada.","Dataloss DB","","2009","37.322998","-122.032182"
"March 18, 2009","Central Ohio Transit Authority","Columbus","Ohio","DISC","GOV","900","More than 900 current and former 
          COTA employees recently learned their Social Security numbers had been 
          sent to dozens of health-insurance companies. Central Ohio Transit Authority 
          officials notified administrative employees who have or had worked for 
          COTA since 2004 that personnel workers gave 51 companies their names 
          and identification numbers. The information went to companies proposing 
          to bid on providing long-term disability insurance to COTA. In 2006, 
          COTA also sent information on union employees to 39 potential insurance 
          providers.","Dataloss DB","","2009","39.961176","-82.998794"
"May 5, 2009","Spencer House Apartment Complex","Beaverton","Oregon","PHYS","BSO","0","Residents at an apartment complex 
            blamed apartment management Monday for leaving their personal information 
            out in the open. The documents were found in an unlocked public container 
            that was sitting off a side street in their apartment complex. The 
            documents included Social Security numbers, addresses, phone numbers, 
            immigration numbers and names.","Dataloss DB","","2009","45.487062","-122.803710"
"April 29, 2009","Orleans Parish Public Schools","New Orleans","Louisiana","PHYS","EDU","0","The confidential records of Orleans 
          Parish public-school employees have been discovered in an abandoned 
          and unsecured warehouse in New Orleans. Personnel files, payroll records, 
          and other documents with private data were uncovered. Inside were countless 
          boxes filled with confidential information, not to mention stacks of 
          other documents lying on the ground, listing payroll information, worker 
          evaluations, notices of personnel action, and investigations into employee 
          discrimination. Also found were full names, home addresses, and Social 
          Security numbers on document after document.","Media","","2009","29.954648","-90.075072"
"March 18, 2009","Walgreens Health Initiative","Deerfield","Illinois","DISC","MED","28,000","Names, dates of birth and Social 
          Security numbers of roughly 28,000 state retirees were e-mailed to the 
          Kentucky Retirement Systems without being properly encrypted for security 
          purposes by its pharmacy benefit provider. The e-mail contained dates 
          of birth, Social Security numbers and health insurance claim numbers 
          but not personal health information. The file contained information 
          only on members who were both Medicare-eligible and used the retiree 
          pharmacy benefit through Walgreens in 2007.","Dataloss DB","","2009","42.171137","-87.844512"
"March 16, 2009","Comcast","Philadelphia","Pennsylvania","DISC","BSO","4,000","A list of over 8,000 Comcast user            names and passwords were available to the public via Scribd for two months,            before a Wilkes University professor discovered it over the weekend            after doing a search for his identity online. Comcast is saying it looks            like the result of a phishing scam and isn't an inside job, and that            there are so many duplicate entries on the list that it's closer to            4,000 customers who were exposed.","Media","","2009","39.952335","-75.163789"
"March 16, 2009","University of Toledo","Toledo","Ohio","STAT","EDU","450","A computer stolen from the University 
          of Toledo contained personal information for about 24,000 students and 
          450 faculty during the 2007-08 and 2008-09 academic years. The student 
          data was directory and educational information, such as student identification 
          numbers and grade point averages. The faculty information, however, 
          was more personal and included names, Social Security numbers, birth 
          dates, and more.","Dataloss DB","","2009","41.663938","-83.555212"
"March 12, 2009","Dezonia Group","Chicago","Illinois","PORT","BSO","63,000","The city of Chicago bills people 
          for ambulance rides -- $600 and up. It uses a third party, Dezonia 
          Group, for billing. An employee's laptop, containing patient names, addresses 
          and Social Security numbers, was stolen from the company. Reports differ as to whether or not the data was encrypted. ","Dataloss DB","","2009","41.850033","-87.650052"
"February 19, 2009","Northeast Orthopaedics, MRecord","Raleigh","North Carolina","DISC","MED","1,000","Records of more than 1,000 patient 
            visits to Northeast Orthopaedics, a large Albany surgical practice, 
            have been posted on the Internet. The records appeared on the Web 
            site visvabpo.com, which seems to be a defunct outsourcing company in India called 
            Visva BPO. Those records include patient names, birth dates and Social 
            Security numbers.","Dataloss DB","","2009","35.772096","-78.638615"
"February 11, 2009","Los Alamos National Laboratory","Los Alamos","New Mexico","STAT","GOV","0","The Los Alamos nuclear weapons 
            laboratory in New Mexico is missing 69 computers, including at least 
            a dozen that were stolen last year. The computers are a cybersecurity 
            issue because they may contain personal information like names and 
            addresses. But Los Alamos claims they did not contain classified information. Also 
            missing are three computers that were taken from a scientist's home 
            and a BlackBerry belonging to another employee that was lost in 
            a foreign country considered sensitive.","Dataloss DB","","2009","35.888080","-106.306972"
"February 5, 2009","Mooresville's Dry Cleaning Station","Mooresville","North Carolina","INSD","BSO","0","A Mooresville dry cleaner 
            skipped town, taking her clients' clothes and credit card numbers 
            with her.","Dataloss DB","","2009","35.584860","-80.810072"
"February 2, 2009","Southern Satellite","Orange City","Florida","PHYS","BSO","0","Hundreds of folders containing names, 
          addresses, Social Security numbers and credit card information were 
          found in a dumpster.","Dataloss DB","","2009","28.948876","-81.298674"
"February 4, 2009","Texas Veterans Commission","Waco","Texas","DISC","GOV","20","A Waco individual received a packet 
            in the mail with the application for her daughter's tuition benefits. 
            At the bottom of the packet, was a claims log that listed more than 
            20 veterans names, Social Security numbers and medical claim information. 
            The Waco Veterans Commission and the VA's regional office were not 
            able to explain how the veterans' personal information found its way 
            into the envelope containing the unrelated information about the tuition 
            benefits for the woman's daughter.","Dataloss DB","","2009","31.549333","-97.146670"
"January 27, 2009","U.S. Consulate","","","PHYS","GOV","0","Hundreds of files - with Social Security numbers, bank account numbers and other sensitive U.S. government information - were found in a filing cabinet purchased from the U.S. consulate in Jerusalem through a local auction.","Media","","2009","37.090240","-95.712891"
"January 20, 2009","Kanawha-Charleston Health Department","Charleston","West Virginia","INSD","GOV","11,000","People who received flu shots 
            from the agency since October are being warned that their personal 
            information may have been stolen by a former department temporary 
            worker. Information included their names, Social Security numbers, 
            addresses and other personal information.","Dataloss DB","","2009","38.349820","-81.632623"
"October 26, 2009","CalOptima","Orange County","California","PORT","MED","68,000","Personally identifiable information 
            on members of CalOptima, a Medicaid managed care plan, may have been 
            compromised after several CDs containing the information went missing. 
            The unencrypted data on the CDs includes member names, home addresses, 
            dates of birth, medical procedure codes, diagnosis codes and member 
            ID numbers, and an unspecified number of Social Security numbers. 
            The discs had been put in a box and sent via certified mail to CalOptima 
            by one of its claims-scanning vendors, according to a statement by 
            the health plan. CalOptima received the external packaging material 
            minus the box of discs.","Dataloss DB","","2009","33.717471","-117.831143"
"October 27, 2009","FirstMerit Bank","Streetsboro","Ohio","PHYS","BSF","0","Police in three Ohio cities are 
            investigating the theft of three large storage bins from bank branches 
            earlier this month. The storage bins were used to store paper waiting 
            to be shredded. Three branches of the FirstMerit Bank in Streetsboro, 
            Westlake and Elyria, OH each reported a bin missing beginning on October 
            7. One of the three bins contained personal documents of bank customers.","Media","","2009","41.239223","-81.345941"
"November 6, 2009","Chaminade University","Honolulu","Hawaii","DISC","EDU","4,500","Chaminade University inadvertently posted confidential information, including Social Security numbers, of thousands of students, on its Web site for months. An investigation determined the report was placed on obscure -- though publicly accessible -- Web pages because of human error, according to a university news release. The information was accessible for about eight months, although there is no evidence of its use, officials said. The university estimates that personally identifiable data for 4,500 students were in the report. Those affected include undergraduate students who attended the university from 1997 to 2006.","Dataloss DB","","2009","21.306944","-157.858333"
"February 6, 2009","Purdue University","West Lafayette","Indiana","DISC","EDU","962","A mailing error has resulted in 
          1099 tax forms being sent to the wrong recipients. The incident affected 
          248 companies and 962 individuals. Those affected by the incident received 
          letters notifying them that their tax information had either been sent 
          to another or that they themselves had received someone else's information 
          by mistake.","Dataloss DB","","2009","40.425869","-86.908066"
"November 18, 2009","Universal American Action Network","St. Petersburg","Pennsylvania","DISC","MED","80,000","Thousands of Pennsylvanians are at risk for identity theft because postcards were sent to their homes with their Social Security numbers printed in plain view. The postcards were from the Universal American Action Network, a subsidiary of Universal American Insurance. 80,000 postcards with SSNs on them were sent to Universal clients throughout the country. More than 10,000 were mailed to Medicare participants in Pennsylvania.","Dataloss DB","","2009","41.161524","-79.654421"
"December 1, 2009","Children's Hospital of Philadelphia","Philadelphia","Pennsylvania","PORT","MED","942","A laptop computer containing Social Security Numbers and other personal information was stolen from a car outside an employee's home on Oct. 20. The billing information on the computer was password-protected, but an analysis found it was possible to decode the security controls on the laptop and gain access to the personal information.","Dataloss DB","","2009","39.952335","-75.163789"
"December 31, 2009","Eastern Washington University","Cheney","Washington","HACK","EDU","130,000","Eastern Washington University is trying to notify up to 130,000 current or former students whose names, Social Security numbers and dates of birth were on a computer network involved in a security breach. The student information goes back to 1987. The notification process could take up to two weeks. The University recently discovered the breach during an assessment of its network. Information-technology staff also discovered that the hacker installed software to store and share video files on the system. ","Dataloss DB","","2009","47.487390","-117.575762"
"December 23, 2009","Penn State University","University Park","Pennsylvania","HACK","EDU","30,000","The University sent out letters notifying those potentially affected by malware infections, which are believed responsible for breaches. The areas and extent of the records involved in the malicious software attack included Eberly College of Science, 7,758 records; the College of Health and Human Development, 6,827 records; and one of Penn State's campuses outside of University Park, approximately 15,000 records.","Dataloss DB","","2009","40.802006","-77.856390"
"December 4, 2009","University of Nebraska","Omaha","Nebraska","HACK","EDU","1,400","A computer in the College of Education and Human Sciences at the Lincoln campus was breached. The security breach was discovered last month at the University of Nebraska involving the names, addresses and Social Security Numbers of 1,400 Hinsdale High School District 86 graduates. The University's investigation revealed the computer had not been adequately secured, allowing unauthorized external access to the computer and its information.","Dataloss DB","","2009","41.254006","-95.999258"
"November 17, 2009","Nebraska Workers' Compensation Court","Omaha","Nebraska","HACK","GOV","0","Someone broke into a server that temporarily held injury reports. Whenever a worker has a job-related injury, a report is filed with the Workers' Compensation Court and the information is temporarily stored on that server. Personal information, including birth dates and Social Security numbers, would have been on the server.","Dataloss DB","","2009","41.254006","-95.999258"
"September 16, 2009","Downeast Energy & Building Supply","Brunswick","Maine","HACK","BSO","800","Downeast sent a notice after 
            discovering that hackers had broken in and stolen more than $200,000 
            from the company's online bank account. Sometime prior to September, 
            attackers planted keystroke logging malware on Downeast's computer 
            systems, and stole the credentials the company uses to manage its 
            bank accounts online. Hackers had gained access to the bank account the
company uses to let customers pay for fuel with electronic transfers
from their checking accounts. Then, on or around Sept. 2, the hackers used 
            that access to initiate a series of sub-$10,000 money transfers out 
            of the company's account to at least 20 individuals around the United 
            States who had no prior business with Downeast Energy. The personal information to which the thieves had access included
customers' names, banks and checking account numbers","Dataloss DB","","2009","43.914524","-69.965328"
"September 5, 2009","Mitsubishi Corp.","New York","New York","HACK","BSR","52,000","A Mitsubishi Corp. Internet shopping 
            unit lost credit card details on 52,000 customers after its servers 
            were hacked from overseas. The company has informed customers and 
            relevant authorities of the leaks and has suspended the Web site until 
            it can improve the system.","Dataloss DB","","2009","40.714269","-74.005973"
"July 16, 2009","Moores Cancer Center","San Diego","California","HACK","MED","30,000","A hacker breached the Center's 
            computers and gained access to patients' personal information.  A letter was sent to 30,000 patients informing them that their personal information may have been in the compromised databases.  Types of information in breach included names, dates of birth, medical record number, diagnosis and treatment dates and some Social Security numbers.  The majority of patients' information did not include Social Security numbers.","Dataloss DB","","2009","32.715329","-117.157255"
"February 5, 2009","phpBB.com","Bellevue","Washington","HACK","BSO","400,000","A popular bulletin board software              package has been taken offline following a security breach that gave              an attacker full access to a database containing names, email, address,              and hashed passwords for its entire user base. The attacker gained              access through an unpatched security bug in PHPlist, a third-party              email application.","Media","","2009","47.610377","-122.200679"
"January 30, 2009"," Coos Bay Department of Human Services","Coquille","Oregon","HACK","GOV","45","A scammer made off with Social Security 
          numbers after sending a virus online to a computer at the Department 
          of Human Services office. An application that was installed recorded 
          keystrokes and sent them to an external address. The information was 
          taken from Coos County residents.","Media","","2009","43.177054","-124.187608"
"January 23, 2009","Monster.com","Maynard","Massachusetts","HACK","BSO","0","Their database was illegally 
          accessed and user IDs, passwords, names, e-mail addresses, birth dates, 
          gender, ethnicity, and in some cases, users' states of residence were 
          stolen.","Media","","2009","42.433427","-71.449507"
"January 7, 2009","Genica, Geeks.com","Oceanside","California","HACK","BSO","0","Genica dba Geeks.com (Genica) 
            recently discovered that customer information, including Visa credit 
            card information, may have been compromised. In particular, it is 
            possible that an unauthorized person may be in possession of your 
            names, addresses, telephone numbers, email addresses, credit card 
            numbers, expiration dates, and card verification numbers. They are 
            still investigating the details of this incident, but it appears that 
            an unauthorized individual may have accessed this information by hacking the eCommerce website.","Dataloss DB","","2009","33.195870","-117.379483"
"January 6, 2009","CheckFree Corp.","Atlanta","Georgia","HACK","BSF","5,000,000","CheckFree Corp. and some of the 
            banks that use its electronic bill payment service say that criminals 
            took control of several of the company's Internet domains and redirected 
            customer traffic to a malicious Web site hosted in the Ukraine. The 
            company believes that about 160,000 consumers were exposed to the 
            Ukrainian attack site. However, because the company lost control of 
            its Web domains, it doesn't know exactly who was hit. It has warned a much larger number of customers. This breach was reported back 
            in Dec. 3, 2008.","Dataloss DB","","2009","33.748995","-84.387982"
"July 1, 2009","Bike Nashbar         ","Asheville","North Carolina","HACK","BSR","0","The company's computer servers were hacked and credit card information was compromised. Letters with 
          more details will be mailed to affected customers.","Media","","2009","35.600945","-82.554015"
"June 7, 2009","T-Mobile USA","Bellevue","Washington","HACK","BSO","0","T-Mobile USA is investigating claims 
          that a hacker has broken into its data bases and stolen customer and 
          company information. Someone anonymously posted the claims on the security 
          mailing list Full Disclosure. In that post, the hacker claims to have 
          gotten access to everything -- their databases, confidential documents, 
          scripts and programs from their servers, financial documents up to 2009. 
          They claim they have been in touch with the carrier's competitors 
          trying to sell the data, but have been unsuccessful. They threatened to sell it to the highest bidder. T-Mobile later confirmed a hacker obtained a document.","Media","","2009","47.610377","-122.200679"
"June 3, 2009","Aviva","Concord","New Hampshire","HACK","BSF","550","The data breach affected customers 
          who opened accounts in the U.S. or beneficiaries of accounts opened 
          in the U.S. The breach, caused by malware on an Aviva computer, happened 
          between Dec. 30 and Feb. 24. A vendor helping Aviva locate policyholders 
          and beneficiaries whose mail was undeliverable found 3 Aviva USA 
          customers' Social Security numbers and other personal information while 
          searching for them. The company believed 550 customers had their Social Security numbers exposed in this manner. Aviva says it has removed the compromised hardware and taken 
          steps to prevent future malware attacks.","Dataloss DB","","2009","43.208137","-71.537572"
"May 11, 2009","Multiple financial institutions","New York","New York","CARD","BSF","0","A band of brazen thieves ripped 
          off hundreds of New Yorkers by rigging ATMs to steal account and password 
          information from bank customers. The first - a skimmer - went over the 
          slot where customers insert their ATM cards. The skimmer read, and 
          stored, the personal information kept in the magnetic strip on the back 
          of the bank card. The second device was a tiny camera hidden in the lighted 
          signs over the ATM. The pinhole camera lens pointed directly onto the 
          ATM keypad and filmed victims typing in their supposedly secret PIN 
          codes. The thieves would then create their own phony ATM cards and use 
          their victims' PINs to access accounts.","Media","","2009","40.714269","-74.005973"
"May 4, 2009","Virginia Prescription Monitoring Program","Richmond ","Virginia","HACK","MED","531,400","The FBI and Virginia State Police 
            are searching for hackers who demanded that the state pay them a $10 
            million ransom for the return of millions of personal pharmaceutical 
            records they say they stole from the state's prescription drug database. 
            A notice posted on the DHP Web site acknowledged that the site is 
            currently experiencing technical difficulties which affect computer 
            and e-mail systems. Some customer identification numbers, which 
            may be Social Security numbers, were included, but medical histories 
            were not. UPDATE (6/4/09): 
            The state is mailing individual notifications to 530,000 people whose 
            prescription records may have contained Social Security numbers. In 
            addition, 1,400 registered users of the database, mostly doctors and 
            pharmacists, who may have provided Social Security numbers when they 
            registered for the program, are being notified. The database that was 
            hacked contained records of more than 35 million prescriptions dispensed 
            since 2006 for certain federally controlled drugs with a high potential 
            for abuse.","Media","","2009","37.542979","-77.469092"
"May 1, 2009","LexisNexis, Investigative Professionals","Miamisburg","Ohio","CARD","BSO","40,000","Companies Lexis Nexis and Investigative 
          Professionals have notified up to 40,000 individuals whose sensitive 
          and personally identifiable information may have been viewed 
          by individuals who did not have legitimate access. The data breach is linked 
          to a Nigerian scam artist who used the information to incur fraudulent 
          charges on victims' credit cards. Of the 40,000 individuals whose 
          information was accessed, up to 300 were compromised and used to obtain 
          fraudulent credit cards. The private information viewed included names, 
          dates of birth and possibly Social Security numbers.","Dataloss DB","","2009","39.642836","-84.286608"
"March 12, 2009","US Army","Washington","District Of Columbia","HACK","GOV","1,600","An Army database that contains              personal information about nearly 1,600 soldiers may have been penetrated              by unauthorized users. The information that may have been breached              includes the service members' names, e-mail messages, phone numbers,              home addresses, awards received, ranks, gender, ethnicity, and dates              the soldiers deployed and returned from their deployment.","Media","","2009","38.895112","-77.036366"
"February 16, 2009","Wyndham Hotels & Resorts","Parsippany","New Jersey","HACK","BSO","21,000","In mid-September 2008, the company 
            discovered that a sophisticated hacker penetrated the computer systems 
            of one of the hotels. By going through the centralized network connection, 
            the hacker was then able to access and download information from several, 
            but not all, of the other WHR properties and create a unique file 
            containing payment card information of a small percentage of WHR 
            customers. Potentially exposed through this breach are guest and/or 
            cardholder names and card numbers, expiration dates and other data 
            from the card's magnetic stripe.","Dataloss DB","","2009","40.857877","-74.425987"
"February 13, 2009","University of Alabama","Tuscaloosa","Alabama","HACK","EDU","37,000","Seventeen of 400 databases 
          were tapped by hackers. Personal information may have been stolen. One 
          of those computers contained lab results for people tested at the campus 
          medical center. The servers had a database containing 37,000 records 
          of lab data. They contain the names, addresses, birthdates and Social 
          Security numbers of each person who has had lab work, such as a blood 
          or urine test, done on the UA campus since 1994.","Dataloss DB","","2009","33.209841","-87.569174"
"May 28, 2009","Aetna","Hartford","Connecticut","HACK","MED","65,000","Aetna has contacted 65,000 current 
          and former employees whose Social Security numbers may have been compromised 
          in a Web site data breach. The breach was a spam campaign showing that 
          the intruders successfully harvested e-mail addresses from the Web site, 
          although it's not clear if SSNs were also obtained. The spam purported 
          to be a response to a job inquiry and requested more personal information. 
          Aetna sent letters last week notifying the 65,000 people whose SSNs 
          were on the site of the breach. UPDATE
          (6/11/09):
          Hartford health insurer Aetna Inc. is being sued. The class-action suit 
          was filed in a Pennsylvania District Court and demands credit monitoring, 
          punitive damages, costs and other relief for current, former and potential 
          employees.","Dataloss DB","","2009","41.763711","-72.685093"
"March 7, 2009","Google","Mountain View","California","DISC","BSO","0","Google contacted some of its 
            users to let them know about a situation that affected its Google 
            Docs users. They believe the problem affected less than 0.05% of all 
            documents. Google identified and fixed a bug where a small percentage 
            of users shared some of their documents inadvertently. The bug occurred 
            when the document owner, or a collaborator with sharing rights, selected 
            multiple documents and presentations from the documents list and then 
            changed the sharing permissions. The bug did not affect spreadsheets.","Media","","2009","37.386052","-122.083851"
"August 11, 2009","University of California, Berkeley School of Journalism   ","Berkeley","California","HACK","EDU","493","Campus officials discovered during 
            a computer security check that a hacker had gained access to the journalism 
            school's primary Web server. The server contained much of the same 
            material visible on the public face of the Web site. However, the 
            server also contained a database with Social Security numbers and/or 
            dates of birth belonging to 493 individuals who applied for admission 
            to the journalism school between September 2007 and May 2009.","Dataloss DB","","2009","37.871593","-122.272747"
"July 29, 2009","University of Colorado, Colorado Springs","Colorado Springs","Colorado","PORT","EDU","766","The university is notifying nearly 
            800 students and alumni that some of their personal information may 
            have been on a stolen laptop. That laptop was taken from a professor's 
            home on July 5th after the home was burglarized. The laptop contained 
            class roster information  -  name, student ID number, e-mail address, 
            graduating class year and grade information  -  for current and 
            past UCCS students. No financial information was stored on the laptop, 
            but there is a possibility that Social Security numbers may have been 
            involved for students enrolled prior to summer, 2005.","Dataloss DB","","2009","38.833882","-104.821363"
"May 7, 2009","University of California, Berkeley","Berkeley","California","HACK","EDU","160,000","Hackers infiltrated restricted computer 
          databases. Personal information of 160,000 current and former students 
          and alumni may have been stolen. The University says Social Security 
          numbers, health insurance information and non-treatment medical records 
          dating back to 1999 were accessed. The breach was discovered April 21, 
          2009, when administrators performing routine maintenance identified 
          messages left by the hackers. They found that restricted electronic 
          databases had been illegally accessed by hackers beginning on October 
          9, 2008 and continued until April 6, 2009. All of the exposed databases 
          were removed from service to prevent further attacks.","Dataloss DB","","2009","37.871593","-122.272747"
"January 31, 2009","Columbia University","New York","New York","PORT","EDU","1,400","About 1,400 current, former and prospective students at Columbia University have been told that their personal information, including Social Security numbers, is vulnerable following a security breach. The university said information about the students, as well as some current and past employees, was on three password-protected notebook computers that were stolen from a Columbia College.","Dataloss DB","","2009","40.714269","-74.005973"
"January 21, 2009","First Interstate Mortgage Corporation (FIM),  Nevada One Corporation (Nevada One)","","Nevada","PHYS","BSF","0","These mortgage brokers have discarding consumers' tax returns, credit reports, and other sensitive personal and financial information in an unsecured dumpster in December of 2006. Approximately 40 boxes containing consumer records were found in a publicly-accessible dumpster. The records included tax returns, mortgage applications, bank statements, photocopies of credit cards, drivers' licenses, and at least 230 credit reports. The defendant, who has owned numerous companies that handle sensitive consumer information, kept the documents in an insecure manner in his garage before improperly disposing of them.UPDATE (1/20/10): The mortgage broker paid a $35,000 civil penalty to settle FTC charges. The mortgage broker will also have to hire an independent security professional to review the security process every year for 10 years. ","NAID","","2009","38.802610","-116.419389"
"April 13, 2009","Irving Independent School District","Irving","Texas","PHYS","EDU","0","Identity thieves using the names and Social Security
numbers of Irving Independent School District
employees have made thousands of dollars in credit card purchases. At least 64 of
the 3,400 teachers and other employees names were on an old benefits
report that somehow ended up in the trash.UPDATE (2/4/10): At least one woman involved in the crime was caught in January of 2009 and sentenced on February 4, 2010.","Media","","2009","32.814018","-96.948895"
"August 11, 2009","Bank of America Corp. ","Charlotte","North Carolina","CARD","BSF","0","Charlotte-based BofA (NYSE:BAC) 
            and Citigroup (NYSE:C) each recently issued replacement cards to consumers, 
            telling them that their account numbers may have been compromised. 
            Account information from certain Bank of America debit cards may have 
            been compromised at an undisclosed third-party location. Bank officials 
            are not certain if this is a new breach or a previously disclosed 
            one.","Media","","2009","35.227087","-80.843127"
"December 7, 2009","Gateway Community College","New Haven","Connecticut","HACK","EDU","0","The College attempted to notify potential victims of a breach caused by malware discovered on campus computers.  College alumni who donated to the College, potential donors, and students receiving scholarships between 2004 and 2006 may have been affected.","Databreaches.net","","2009","41.308153","-72.928158"
"January 26, 2009","U.S. Military ","Washington","District Of Columbia","UNKN","GOV","60","A New Zealand man accesses US 
            military secrets on an MP3 player he bought from an Oklahoma thrift 
            shop for $18. When the 29-year-old hooked up the player he discovered 
            a playlist he could never have imagined - 60 files in total, including 
            the names and personal details of American soldiers.","Media","","2009","38.895112","-77.036366"
"November 19, 2009","FCI USA","Manchester","New Hampshire","PORT","BSO","2,000","An employee's laptop was stolen.  The laptop contained a spreadsheet with Social Security numbers, dates of birth and names for 2,000 employees.","Databreaches.net","","2009","42.995640","-71.454789"
"October 17, 2009","Feeney Insurance Agency","Pittsburgh","Pennsylvania","STAT","BSF","0","A break in resulted in the theft of an unencrypted computer.  The computer contained contact information, Social Security numbers, birth dates, and driver's license numbers.","Databreaches.net","","2009","40.440625","-79.995886"
"December 22, 2009","Western Michigan University","Kalamazoo","Michigan","DISC","EDU","0","University officials discovered that student employee information was viewable online.  The information included names, addresses and Social Security numbers.","Databreaches.net","","2009","42.291707","-85.587229"
"November 7, 2009","Renal Treatment Centers Southeast, DaVita Inc.","Denver","Colorado","STAT","MED","0","Multiple desktop computers were stolen from a facility in Dallas.  The computers contained the names, addresses, Social Security numbers, insurance numbers, and other personal information of patients.","PHIPrivacy.net","","2009","39.739154","-104.984703"
"July 13, 2009","LexisNexis","Dayton","Ohio","UNKN","BSO","13,329","LexisNexis has warned more than 
            13,000 consumers that a Florida man who is facing charges in an alleged 
            mafia racketeering conspiracy may have accessed some of the same sensitive 
            consumer databases that were once used to track terrorists. The accused 
            would provide names, addresses and account numbers as part of a fake 
            check-cashing operation. But he's also accused of using computer databases 
            to get information on potential extortion or assault targets as well 
            as individuals suspected by the Enterprise members of being involved 
            with law enforcement.","Dataloss DB","","2009","39.758948","-84.191607"
"December 18, 2009","Dickinson School of Law","Carlisle","Pennsylvania","HACK","EDU","261","A computer in the Dickinson School of Law that contained 261 Social Security numbers from an archived class list was found to be infected with malware that enabled it to communicate with an unauthorized computer outside the network.","Dataloss DB","","2009","40.201477","-77.188870"
"December 15, 2009","Detroit's Health Department","Detroit","Michigan","PORT","GOV","5,000","Police are investigating two incidents in which patients' medical records -- including social security numbers -- were stolen from the city's health department. The first theft occurred in late October when a flash drive was stolen from a health department employee's car. It contained files with birth certificate information for babies born in 2008 and the first half of 2009 whose parents reside in the 48202 and 48205 zip codes. Also a part of the files were information on the mothers' names and health conditions, the fathers' names, addresses, Medicaid numbers and social security numbers. The second incident happened over the Thanksgiving break when five computers were stolen from the immunization program at the department's Herman Kiefer Health Complex. One of the computers contained Medicare and Medicaid seasonal flu billing information for 2008. ","Dataloss DB","","2009","42.331427","-83.045754"
"December 4, 2009","Eastern Illinois University","","","HACK","EDU","9,000","A computer was compromised by a virus. That caused the University’s Office of Admissions server to be infected with a number of viruses, including several that could allow an external person to access the server. The incident was discovered during a routine security check. The investigation later determined the breach extended to two other computers with personal data from student files or applications.","","","2009","37.090240","-95.712891"
"August 21, 2009","Battleground Urgent Care/Prompt Med","Greensboro","North Carolina","PHYS","MED","623","Medical files were found in a 
            dumpster. It seems a third party moving company was hired to transfer 
            the boxes from one warehouse to another. It is unknown at this time 
            how the files ended up in the dumpster. The information in the files 
            contained Social Security numbers, driver's license copies, 
            medical histories, and employers. UPDATE (5/24/10): Prompt Med agreed to pay a $50,000 fine to the state of North Carolina.","Dataloss DB","","2009","36.072635","-79.791975"
